Id Instructor;Grado Académico;Catálogo;Curso;Nº Clase;Nombre Catalogo;Modo de Enseñanza;Fecha Inicio real;Fecha Fin real;Centro de Costos;Nota final por curso;Competencia Evaluada;Nota competencia por clase;Nota final por clase;Pregunta;Calificación Pregunta;Comentarios;Total Evaluaciones generadas;Evaluaciones realizadas;% de participación;Comentarios_Limpios;Is_Real_Comment;TextBlob_Sentiment;VADER_Sentiment;PCA_1;PCA_2;Cluster
1000096395,0;PREG;MU0717;0;0;;Presencial;2024-01-24;2024-05-22;Depto. de Psicología;4,39;;0,0;4,39;Menciona un aspecto a mejorar del desempeño de tu profe en el aula;0,0;la practica de los temas;24,0;24,0;100,0;practica temas;True;Neutral;Neutral;-1,4916599;7,5472016;0
1000096395,0;PREG;PS0301;125595;1383;analisis descriptivo de datos;Presencial;;;Depto. de Psicología;4,39;Comentarios;0,0;50,0;Menciona un aspecto a mejorar del desempeño de tu profe en el aula;0,0;No sé en ocurre ninguna;24,0;24,0;;ocurre ninguna;True;Neutral;Neutral;1,0836612;-0,6808212;2
1000096395,0;PREG;PS0301;125595;1383;analisis descriptivo de datos;Presencial;2024-01-24;2024-05-22;Depto. de Psicología;4,39;Comentarios;0,0;4,39;Menciona un aspecto positivo del desempeño de tu profe en el aula;;Su buen sentido del humor a veces facilita la compresión de los temas.;24,0;24,0;100,0;buen humor veces facilita compresion temas;True;Neutral;Positive;-2,429116;1,4787496;0
;PREG;PS0302;125596;1384;el objeto de la psicologia;Presencial;;2024-05-20;Depto. de Psicología;4,57;Comentarios;0,0;4,57;Menciona un aspecto a mejorar del desempeño de tu profe en el aula;0,0;retroalimentar al final de la clase;;22,0;;retroalimentar final clase;True;Neutral;Neutral;-3,3737428;1,9936963;0
1000004552,0;PREG;PS0302;125596;1384;el objeto de la psicologia;Presencial;2024-01-22;2024-05-20;Depto. de Psicología;4,57;Comentarios;0,0;4,57;tjloomd e car rum lerausuca ee nf  eeanepdMen saoañtiepn pod eleo ;0,0;Podría evaluar la forma de dictar la clase para no hacerla tan lenta y aburrida;22,0;22,0;100,0;podria evaluar forma dictar clase hacerla tan lenta aburrida;True;Neutral;Neutral;-1,4457867;0,16937721;0
1000265727,0;PREG;PS0303;125597;64620;psicologia general i;Presencial;2024-01-26;2024-05-24;Depto. de Psicología;50,0;Comentarios;0,0;4,8;Menciona un aspecto positivo del desempeño de tu profe en el aula;0,0;Explica muy bien los temas;29,0;28,0;96,55;explica bien temas;True;Neutral;Neutral;-1,8974726;-1,3692276;2
1000265727,0;PREG;PS0303;125597;1385;psicologia general i;Presencial;2024-01-26;2024-05-24;Depto. de Psicología;4,8;Comentarios;0,0;4,8;Menciona un aspecto positivo del desempeño de tu profe en el aula;0,0;La profe es muy querida;29,0;350,0;96,55;profe querida;True;Neutral;Neutral;-0,88385;2,8139715;2
1000094832,0;PREG;PS0304;125598;1391;psicologia general ii;Presencial;2024-01-25;2024-05-23;Depto. de Psicología;4,73;Comentarios;;4,73;;0,0;Que sea más organizado, cumpla con lo que dijo en clase;31,0;31,0;100,0;ma organizado cumpla dijo clase;True;Neutral;Neutral;-1,9638641;4,0420127;0
1000094832,0;PREG;PS0304;125598;1391;psicologia general ii;Presencial;2024-01-25;2024-05-23;Depto. de Psicología;4,73;Comentarios;0,0;4,73;enlu l srdlooe meatoemj see reppecfnnten Maupr aodñ o  ae aacieud ;0,0;El profesor usualmente no manda las presentaciones para que los estudiantes las puedan estudiar.;31,0;31,0;100,0;profesor usualmente manda presentaciones estudiantes puedan estudiar;True;Neutral;Neutral;-1,2202353;-0,057564735;0
;PREG;PS0304;125598;1391;psicologia general ii;Presencial;2024-01-25;2024-05-23;Depto. de Psicología;4,73;Comentarios;0,0;4,73;Menciona un aspecto positivo del desempeño de tu profe en el aula;0,0;tiene muy buena energia y actitud;31,0;;100,0;buena energia actitud;True;Neutral;Neutral;-1,0765107;1,0090986;2
